CTRL.000.002:SPIDATAOUT.0 GPIO.015.000.1:BUFFER_IN
CTRL.000.002:SPIDATAOUT.1 GPIO.013.000.3:BUFFER_IN
CTRL.000.002:SPIDATAOUT.2 GPIO.013.000.1:BUFFER_IN
CTRL.000.002:SPIDATAOUT.3 GPIO.011.000.3:BUFFER_IN
CTRL.000.002:SPIDCLK GPIO.015.000.0:BUFFER_IN
CTRL.000.002:SPISCE GPIO.011.000.1:BUFFER_IN
CMUXHG.000.035:CLKFBOUT.3 FPLL.000.031:FBCLK_IN_L0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.004.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.012.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.020.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.028.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.036.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.052.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.060.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.068.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.076.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 DQS16.084.081.1:DELAY_CTRL_IN.0
DLL.000.079:DELAY_CTRL_OUT.0 LVL.017.081.1:CTL_DLL.0
DLL.000.079:DELAY_CTRL_OUT.0 LVL.033.081.1:CTL_DLL.0
DLL.000.079:DELAY_CTRL_OUT.0 LVL.055.081.1:CTL_DLL.0
DLL.000.079:DELAY_CTRL_OUT.0 LVL.071.081.1:CTL_DLL.0
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.004.081.1:DELAY_CTRL_IN.1
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.012.081.1:DELAY_CTRL_IN.1
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.020.081.1:DELAY_CTRL_IN.1
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.028.081.1:DELAY_CTRL_IN.1
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.036.081.1:DELAY_CTRL_IN.1
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.052.081.1:DELAY_CTRL_IN.1
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.060.081.1:DELAY_CTRL_IN.1
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.068.081.1:DELAY_CTRL_IN.1
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.076.081.1:DELAY_CTRL_IN.1
DLL.000.079:DELAY_CTRL_OUT.1 DQS16.084.081.1:DELAY_CTRL_IN.1
