GPIO.032.045.1:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.0
GPIO.032.045.1:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.1
GPIO.032.045.1:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.2
GPIO.032.045.1:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.3
GPIO.032.045.0:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.4
GPIO.032.045.0:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.5
GPIO.032.045.0:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.6
GPIO.032.045.0:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.7
GPIO.032.045.2:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.8
GPIO.032.045.2:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.9
GPIO.032.045.2:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.10
GPIO.032.045.2:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.11
GPIO.034.045.3:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.12
GPIO.034.045.3:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.13
GPIO.034.045.3:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.14
GPIO.034.045.3:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.15
GPIO.036.045.1:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.16
GPIO.036.045.1:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.17
GPIO.036.045.1:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.18
GPIO.036.045.1:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.19
GPIO.036.045.0:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.20
GPIO.036.045.0:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.21
GPIO.036.045.0:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.22
GPIO.036.045.0:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.23
GPIO.036.045.2:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.24
GPIO.036.045.2:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.25
GPIO.036.045.2:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.26
GPIO.036.045.2:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.27
GPIO.038.045.3:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.28
GPIO.038.045.3:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.29
GPIO.038.045.3:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.30
GPIO.038.045.3:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.31
GPIO.040.045.1:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.36
GPIO.040.045.1:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.37
GPIO.040.045.1:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.38
GPIO.040.045.1:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.39
GPIO.040.045.0:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.40
GPIO.040.045.0:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.41
GPIO.040.045.0:DATAOUT.2 HMC.011.045:DDIOPHYDQDIN.42
GPIO.040.045.0:DATAOUT.3 HMC.011.045:DDIOPHYDQDIN.43
GPIO.040.045.2:DATAOUT.0 HMC.011.045:DDIOPHYDQDIN.44
GPIO.040.045.2:DATAOUT.1 HMC.011.045:DDIOPHYDQDIN.45
