GPIO.050.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.0
GPIO.050.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.1
GPIO.050.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.2
GPIO.050.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.3
GPIO.050.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.4
GPIO.050.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.5
GPIO.050.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.6
GPIO.050.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.7
GPIO.050.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.8
GPIO.050.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.9
GPIO.050.000.2:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.10
GPIO.050.000.2:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.11
GPIO.052.000.3:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.12
GPIO.052.000.3:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.13
GPIO.052.000.3:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.14
GPIO.052.000.3:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.15
GPIO.054.000.1:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.16
GPIO.054.000.1:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.17
GPIO.054.000.1:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.18
GPIO.054.000.1:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.19
GPIO.054.000.0:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.20
GPIO.054.000.0:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.21
GPIO.054.000.0:DATAOUT.2 HMC.025.000:DDIOPHYDQDIN.22
GPIO.054.000.0:DATAOUT.3 HMC.025.000:DDIOPHYDQDIN.23
GPIO.054.000.2:DATAOUT.0 HMC.025.000:DDIOPHYDQDIN.24
GPIO.054.000.2:DATAOUT.1 HMC.025.000:DDIOPHYDQDIN.25
