GPIO.008.000.0:DATAIN.0 GOUT.008.000.0044
GPIO.008.000.0:DATAIN.1 GOUT.008.000.0034
GPIO.008.000.0:DATAIN.2 GOUT.008.000.0043
GPIO.008.000.0:DATAIN.3 GOUT.008.000.0029
GPIO.008.000.0:DATAOUT.0 GIN.008.000.0018
GPIO.008.000.0:DATAOUT.1 GIN.008.000.0017
GPIO.008.000.0:DATAOUT.2 GIN.008.000.0016
GPIO.008.000.0:DATAOUT.3 GIN.008.000.0015
GPIO.008.000.0:DATAOUT.4 GIN.008.000.0014
GPIO.008.000.0:OEIN.0 GOUT.008.000.0038
GPIO.008.000.0:OEIN.1 GOUT.008.000.0030
GPIO.008.000.0:BSLIPMAX GIN.008.000.0019
GPIO.008.000.0:CEIN GOUT.008.000.0027
GPIO.008.000.0:CEOUT GOUT.008.000.0045
GPIO.008.000.0:ACLR GOUT.008.000.0028
GPIO.008.000.0:SCLR GOUT.008.000.0031
GPIO.008.000.0:CLKIN_IN.0 DCMUX.008.000.0010
GPIO.008.000.0:CLKIN_IN.1 DCMUX.008.000.0008
GPIO.008.000.0:CLKIN_OUT.0 DCMUX.008.000.0014
GPIO.008.000.0:CLKIN_OUT.1 DCMUX.008.000.0012
GPIO.008.000.1:DATAIN.0 GOUT.008.000.0049
GPIO.008.000.1:DATAIN.1 GOUT.008.000.0041
GPIO.008.000.1:DATAIN.2 GOUT.008.000.0048
GPIO.008.000.1:DATAIN.3 GOUT.008.000.0040
GPIO.008.000.1:DATAOUT.0 GIN.008.000.0024
GPIO.008.000.1:DATAOUT.1 GIN.008.000.0023
GPIO.008.000.1:DATAOUT.2 GIN.008.000.0022
GPIO.008.000.1:DATAOUT.3 GIN.008.000.0021
GPIO.008.000.1:DATAOUT.4 GIN.008.000.0020
GPIO.008.000.1:OEIN.0 GOUT.008.000.0047
GPIO.008.000.1:OEIN.1 GOUT.008.000.0039
GPIO.008.000.1:BSLIPMAX GIN.008.000.0025
GPIO.008.000.1:CEIN GOUT.008.000.0051
GPIO.008.000.1:CEOUT GOUT.008.000.0050
GPIO.008.000.1:ACLR GOUT.008.000.0042
GPIO.008.000.1:SCLR GOUT.008.000.0046
GPIO.008.000.1:CLKIN_IN.0 DCMUX.008.000.0011
GPIO.008.000.1:CLKIN_IN.1 DCMUX.008.000.0009
GPIO.008.000.1:CLKIN_OUT.0 DCMUX.008.000.0015
GPIO.008.000.1:CLKIN_OUT.1 DCMUX.008.000.0013
GPIO.008.000.2:DATAIN.0 GOUT.008.000.0014
GPIO.008.000.2:DATAIN.1 GOUT.008.000.0022
GPIO.008.000.2:DATAIN.2 GOUT.008.000.0015
GPIO.008.000.2:DATAIN.3 GOUT.008.000.0023
GPIO.008.000.2:DATAOUT.0 GIN.008.000.0008
GPIO.008.000.2:DATAOUT.1 GIN.008.000.0009
GPIO.008.000.2:DATAOUT.2 GIN.008.000.0010
GPIO.008.000.2:DATAOUT.3 GIN.008.000.0011
GPIO.008.000.2:DATAOUT.4 GIN.008.000.0012
GPIO.008.000.2:OEIN.0 GOUT.008.000.0016
GPIO.008.000.2:OEIN.1 GOUT.008.000.0024
GPIO.008.000.2:BSLIPMAX GIN.008.000.0007
GPIO.008.000.2:CEIN GOUT.008.000.0020
GPIO.008.000.2:CEOUT GOUT.008.000.0013
GPIO.008.000.2:ACLR GOUT.008.000.0021
GPIO.008.000.2:SCLR GOUT.008.000.0025
GPIO.008.000.2:CLKIN_IN.0 DCMUX.008.000.0005
GPIO.008.000.2:CLKIN_IN.1 DCMUX.008.000.0007
GPIO.008.000.2:CLKIN_OUT.0 DCMUX.008.000.0001
GPIO.008.000.2:CLKIN_OUT.1 DCMUX.008.000.0003
GPIO.008.000.3:DATAIN.0 GOUT.008.000.0003
GPIO.008.000.3:DATAIN.1 GOUT.008.000.0017
GPIO.008.000.3:DATAIN.2 GOUT.008.000.0008
GPIO.008.000.3:DATAIN.3 GOUT.008.000.0018
GPIO.008.000.3:DATAOUT.0 GIN.008.000.0002
GPIO.008.000.3:DATAOUT.1 GIN.008.000.0003
GPIO.008.000.3:DATAOUT.2 GIN.008.000.0004
GPIO.008.000.3:DATAOUT.3 GIN.008.000.0005
GPIO.008.000.3:DATAOUT.4 GIN.008.000.0006
GPIO.008.000.3:OEIN.0 GOUT.008.000.0002
GPIO.008.000.3:OEIN.1 GOUT.008.000.0019
GPIO.008.000.3:BSLIPMAX GIN.008.000.0001
GPIO.008.000.3:CEIN GOUT.008.000.0005
GPIO.008.000.3:CEOUT GOUT.008.000.0004
GPIO.008.000.3:ACLR GOUT.008.000.0012
GPIO.008.000.3:SCLR GOUT.008.000.0001
GPIO.008.000.3:CLKIN_IN.0 DCMUX.008.000.0004
GPIO.008.000.3:CLKIN_IN.1 DCMUX.008.000.0006
