GPIO.025.039.1:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.0
GPIO.025.039.1:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.1
GPIO.025.039.1:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.2
GPIO.025.039.1:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.3
GPIO.025.039.0:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.4
GPIO.025.039.0:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.5
GPIO.025.039.0:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.6
GPIO.025.039.0:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.7
GPIO.025.039.2:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.8
GPIO.025.039.2:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.9
GPIO.025.039.2:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.10
GPIO.025.039.2:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.11
GPIO.027.039.3:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.12
GPIO.027.039.3:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.13
GPIO.027.039.3:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.14
GPIO.027.039.3:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.15
GPIO.029.039.1:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.16
GPIO.029.039.1:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.17
GPIO.029.039.1:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.18
GPIO.029.039.1:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.19
GPIO.029.039.0:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.20
GPIO.029.039.0:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.21
GPIO.029.039.0:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.22
GPIO.029.039.0:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.23
GPIO.029.039.2:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.24
GPIO.029.039.2:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.25
GPIO.029.039.2:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.26
GPIO.029.039.2:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.27
GPIO.031.039.3:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.28
GPIO.031.039.3:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.29
GPIO.031.039.3:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.30
GPIO.031.039.3:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.31
GPIO.033.039.1:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.36
GPIO.033.039.1:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.37
GPIO.033.039.1:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.38
GPIO.033.039.1:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.39
GPIO.033.039.0:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.40
GPIO.033.039.0:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.41
GPIO.033.039.0:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.42
GPIO.033.039.0:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.43
GPIO.033.039.2:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.44
GPIO.033.039.2:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.45
GPIO.033.039.2:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.46
GPIO.033.039.2:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.47
GPIO.035.039.3:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.48
GPIO.035.039.3:DATAOUT.1 HMC.015.039:DDIOPHYDQDIN.49
GPIO.035.039.3:DATAOUT.2 HMC.015.039:DDIOPHYDQDIN.50
GPIO.035.039.3:DATAOUT.3 HMC.015.039:DDIOPHYDQDIN.51
GPIO.037.039.1:DATAOUT.0 HMC.015.039:DDIOPHYDQDIN.52
